_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
78668,,,ambiguous_exact_year,2
78669,tt0247144,existing_imdb_id,matched,1
78670,tt0324700,existing_imdb_id,matched,1
78671,tt0380084,existing_imdb_id,matched,1
78672,tt0081938,exact_title_type_year,matched,1
78673,tt0088011,existing_imdb_id,matched,1
78674,tt1314652,existing_imdb_id,matched,1
78675,tt1582507,existing_imdb_id,matched,1
78676,tt26084002,existing_imdb_id,matched,1
78677,tt0071877,existing_imdb_id,matched,1
78678,tt0498353,existing_imdb_id,matched,1
78679,tt28223926,existing_imdb_id,matched,1
78680,tt0087277,existing_imdb_id,matched,1
78681,tt8673808,existing_imdb_id,matched,1
78682,tt6903284,existing_imdb_id,matched,1
78683,tt6616260,existing_imdb_id,matched,1
78684,tt6461726,existing_imdb_id,matched,1
78685,tt8010342,existing_imdb_id,matched,1
78686,tt7558708,existing_imdb_id,matched,1
78687,tt9077194,existing_imdb_id,matched,1
78688,tt8891990,existing_imdb_id,matched,1
78689,tt8784636,existing_imdb_id,matched,1
78690,tt9425082,existing_imdb_id,matched,1
78691,tt5056958,existing_imdb_id,matched,1
78692,tt6998202,existing_imdb_id,matched,1
78693,tt8696768,existing_imdb_id,matched,1
78694,tt7183074,existing_imdb_id,matched,1
78695,tt10305614,exact_title_type_year,matched,1
78696,tt0209958,existing_imdb_id,matched,1
78697,tt3951252,existing_imdb_id,matched,1
78698,tt0085033,exact_title_type_year,matched,1
78699,tt0251736,existing_imdb_id,matched,1
78700,tt5195412,existing_imdb_id,matched,1
78701,tt14099796,existing_imdb_id,matched,1
78702,tt3441018,exact_title_type_year,matched,1
78703,,,not_found_correct_type,0
78704,tt0913001,exact_title_type_year,matched,1
78705,tt0989787,exact_title_type_year,matched,1
78706,tt1515533,exact_title_type_year,matched,1
78707,,,not_found,0
78708,tt29201691,exact_title_type_year,matched,1
78709,tt0472458,existing_imdb_id,matched,1
78710,tt7451284,existing_imdb_id,matched,1
78711,tt0060107,existing_imdb_id,matched,1
78712,,,not_found,0
78713,tt0105839,existing_imdb_id,matched,1
78714,tt33098517,existing_imdb_id,matched,1
78715,tt0498443,existing_imdb_id,matched,1
78716,tt0476922,existing_imdb_id,matched,1
78717,tt22050754,existing_imdb_id,matched,1
78718,tt0116908,existing_imdb_id,matched,1
78719,tt34188079,existing_imdb_id,matched,1
78720,tt1526300,existing_imdb_id,matched,1
78721,tt3486626,existing_imdb_id,matched,1
78722,tt0398468,exact_title_type_year,matched,1
78723,tt19050000,existing_imdb_id,matched,1
78724,tt23903524,existing_imdb_id,matched,1
78725,tt27507828,existing_imdb_id,matched,1
78726,tt21627436,existing_imdb_id,matched,1
78727,tt15438246,existing_imdb_id,matched,1
78728,,existing_imdb_id,existing_id_not_in_title_basics,0
78729,tt18273742,existing_imdb_id,matched,1
78730,tt10711648,existing_imdb_id,matched,1
78731,tt3401392,existing_imdb_id,matched,1
78732,tt0230030,existing_imdb_id,matched,1
78733,tt0144700,exact_title_type_year,matched,1
78734,tt1150947,existing_imdb_id,matched,1
78735,tt27425164,existing_imdb_id,matched,1
78736,tt0096061,existing_imdb_id,matched,1
78737,tt0374884,existing_imdb_id,matched,1
78738,tt0069599,exact_title_type_year,matched,1
78739,tt5670152,existing_imdb_id,matched,1
78740,tt1846197,existing_imdb_id,matched,1
78741,tt1709198,existing_imdb_id,matched,1
78742,tt1688779,existing_imdb_id,matched,1
78743,tt3958014,existing_imdb_id,matched,1
78744,tt1788391,existing_imdb_id,matched,1
78745,tt7841496,existing_imdb_id,matched,1
78746,tt0078655,existing_imdb_id,matched,1
78747,tt0080297,existing_imdb_id,matched,1
78748,,,year_mismatch,2
78749,tt8430598,existing_imdb_id,matched,1
78750,tt31456973,existing_imdb_id,matched,1
78751,tt0111897,exact_title_type_year,matched,1
78752,tt0086822,exact_title_type_year,matched,1
78753,tt0381971,existing_imdb_id,matched,1
78754,tt0061301,exact_title_type_year,matched,1
78755,tt0089457,existing_imdb_id,matched,1
78756,tt11464730,existing_imdb_id,matched,1
78757,tt3472586,existing_imdb_id,matched,1
78758,tt1414378,existing_imdb_id,matched,1
78759,tt0335438,existing_imdb_id,matched,1
78760,,,not_found,0
78761,tt5038276,exact_title_type_year,matched,1
78762,tt1396212,existing_imdb_id,matched,1
78763,tt4630676,existing_imdb_id,matched,1
78764,tt4658484,existing_imdb_id,matched,1
78765,tt4561950,existing_imdb_id,matched,1
78766,tt4216878,existing_imdb_id,matched,1
78767,tt4568288,existing_imdb_id,matched,1
78768,tt0110527,existing_imdb_id,matched,1
78769,tt0086816,existing_imdb_id,matched,1
78770,tt0086817,existing_imdb_id,matched,1
78771,tt0357111,existing_imdb_id,matched,1
78772,tt1729622,exact_title_type_year,matched,1
78773,,,not_found,0
78774,tt0430834,exact_title_type_year,matched,1
78775,tt1868939,existing_imdb_id,matched,1
78776,tt0307833,existing_imdb_id,matched,1
78777,tt1381179,existing_imdb_id,matched,1
78778,tt0327333,existing_imdb_id,matched,1
78779,tt8479170,existing_imdb_id,matched,1
78780,tt0329930,exact_title_type_year,matched,1
78781,,existing_imdb_id,existing_id_not_in_title_basics,0
78782,tt0485561,existing_imdb_id,matched,1
78783,tt0312210,exact_title_type_year,matched,1
78784,tt0338655,existing_imdb_id,matched,1
78785,tt0340265,existing_imdb_id,matched,1
78786,tt1710911,existing_imdb_id,matched,1
78787,tt3427294,existing_imdb_id,matched,1
78788,tt0313135,existing_imdb_id,matched,1
78789,tt0306306,existing_imdb_id,matched,1
78790,tt0341741,existing_imdb_id,matched,1
78791,,,not_found_correct_type,0
78792,tt0343282,existing_imdb_id,matched,1
78793,tt0320898,exact_title_type_year,matched,1
78794,tt0381794,exact_title_type_year,matched,1
78795,tt1234589,existing_imdb_id,matched,1
78796,,existing_imdb_id,existing_id_not_in_title_basics,0
78797,tt0310427,existing_imdb_id,matched,1
78798,tt0316983,existing_imdb_id,matched,1
78799,,,not_found,0
78800,tt0331753,exact_title_type_year,matched,1
78801,tt2201815,existing_imdb_id,matched,1
78802,tt0365980,existing_imdb_id,matched,1
78803,tt0338684,existing_imdb_id,matched,1
78804,,,not_found_correct_type,0
78805,tt0326462,existing_imdb_id,matched,1
78806,tt0366848,existing_imdb_id,matched,1
78807,tt0381732,existing_imdb_id,matched,1
78808,tt0320886,existing_imdb_id,matched,1
78809,tt0364807,existing_imdb_id,matched,1
78810,tt0337742,existing_imdb_id,matched,1
78811,tt0354271,exact_title_type_year,matched,1
78812,tt0757065,exact_title_type_year,matched,1
78813,tt0377237,exact_title_type_year,matched,1
78814,tt0313505,existing_imdb_id,matched,1
78815,tt0328792,exact_title_type_year,matched,1
78816,tt15322274,existing_imdb_id,matched,1
78817,tt0329871,existing_imdb_id,matched,1
78818,tt0307719,existing_imdb_id,matched,1
78819,tt0272397,existing_imdb_id,matched,1
78820,tt0303487,existing_imdb_id,matched,1
78821,tt0373605,existing_imdb_id,matched,1
78822,,,not_found,0
78823,tt19383462,exact_title_type_year,matched,1
78824,tt0354316,exact_title_type_year,matched,1
78825,tt0279543,existing_imdb_id,matched,1
78826,tt0335667,existing_imdb_id,matched,1
78827,tt0314983,existing_imdb_id,matched,1
78828,tt0331156,existing_imdb_id,matched,1
78829,tt0319960,existing_imdb_id,matched,1
78830,tt0350415,exact_title_type_year,matched,1
78831,tt0350409,existing_imdb_id,matched,1
78832,tt0278250,existing_imdb_id,matched,1
78833,tt0364801,existing_imdb_id,matched,1
78834,tt1197596,exact_title_type_year,matched,1
78835,tt0331154,existing_imdb_id,matched,1
78836,tt0344744,existing_imdb_id,matched,1
78837,tt0447590,existing_imdb_id,matched,1
78838,,,not_found,0
78839,tt0419344,existing_imdb_id,matched,1
78840,,,not_found,0
78841,tt0306353,existing_imdb_id,matched,1
