tconst,directors,writers
tt0040053,"nm0595657,nm0942047,nm0453008,nm0695698,nm1070249,nm0666777,nm0777413","nm0036372,nm0181658,nm0828562,nm3487654,nm0925131,nm0107724,nm1232195,nm0695698,nm2964448,nm0037819,nm0081748,nm0795971,nm0915590,nm0432075"
tt0040317,nm0000697,"nm0102818,nm0000697"
tt0040522,nm0001120,"nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291"
tt0040724,"nm0001328,nm0744504","nm0153698,nm0773660"
tt0040746,nm0000033,"nm0002025,nm0358096,nm0491306,nm0372942"
tt0040897,nm0001379,"nm0001379,nm0871252"
tt0040990,,
tt0041014,"nm0696662,nm0279416,nm0925099,nm0688776,nm2109120,nm0053846,nm0101914,nm0269605,nm1142262","nm0928068,nm0110613,nm0888533,nm0523385,nm0002087,nm0601133,nm0013003,nm2397221,nm0724517,nm0001920,nm1010400,nm0460856,nm0579698,nm0071507,nm0088493,nm0002009,nm2143216,nm0146902,nm0466426,nm1802678,nm0790533,nm0910482,nm0918485,nm0928200"
tt0041021,nm0506589,"nm0414633,nm0437900,nm0813376,nm5063729,nm0988763,nm0326239,nm0091730"
tt0041023,"nm0936252,nm0718115,nm0580017,nm1213956,nm0076750,nm0013173,nm0240378,nm0290870,nm0000647,nm0168641,nm0000406,nm0713270","nm6184072,nm6323608,nm0040457,nm1494780,nm0046772,nm0046773,nm16361051,nm6718763,nm18773498,nm6319852,nm0067801,nm0071657,nm6447315,nm0076750,nm1424376,nm0089169,nm0091200,nm0094889,nm6225038,nm16360360,nm6501728,nm0001969,nm0104355,nm1028380,nm0122322,nm6429984,nm5042917,nm0123487,nm0152157,nm0154257,nm0002005,nm1498774,nm6158887,nm1198517,nm0169665,nm0172741,nm0173532,nm5967643,nm6289353,nm0177509,nm0178126,nm0178240,nm0185292,nm6462247,nm0193466,nm0205343,nm3429013,nm0206409,nm0206802,nm0211315,nm0002042,nm0234228,nm0250066,nm0266251,nm0268716,nm0268717,nm0001203,nm0287973,nm0290870,nm0292577,nm0293750,nm0313975,nm0314899,nm3297478,nm0319663,nm0321898,nm0325713,nm0325825,nm6665420,nm0341178,nm0344631,nm6549035,nm0353602,nm4288907,nm0354894,nm0361837,nm0362698,nm6231898,nm0366610,nm1485609,nm0370152,nm0370252,nm0371193,nm6177747,nm6211299,nm3254138,nm0394633,nm0399517,nm0401738,nm0413519,nm0414047,nm1397143,nm0414438,nm0422037,nm0426515,nm6211286,nm6434940,nm0431531,nm0441328,nm16361077,nm0448985,nm0449805,nm0455852,nm6210285,nm0460711,nm0463430,nm0478263,nm0213991,nm0486782,nm0488295,nm0497738,nm0500067,nm0504423,nm0504520,nm0506201,nm0513563,nm0514502,nm0520415,nm6326512,nm6726098,nm2436859,nm1058903,nm0550786,nm0552202,nm0552237,nm1066010,nm0996073,nm4014984,nm0575022,nm0576035,nm0580249,nm0592679,nm1965570,nm0615842,nm0622435,nm6663759,nm15218951,nm0642543,nm0643443,nm6263202,nm0658457,nm1713441,nm2402330,nm0677744,nm0680474,nm0000590,nm6222836,nm2247485,nm0718115,nm0724307,nm0733142,nm0733213,nm0738222,nm0739884,nm0740537,nm0742540,nm0761168,nm6369791,nm5579049,nm0794900,nm0798111,nm0802561,nm0806032,nm1056204,nm0818074,nm6294088,nm0820484,nm1023705,nm0834529,nm0842582,nm0852752,nm2271388,nm6411791,nm0990403,nm6569563,nm0870511,nm0873432,nm0877957,nm0880493,nm6508035,nm0881598,nm0883884,nm0888758,nm2389912,nm0896098,nm0907013,nm0911969,nm5576309,nm0912131,nm6250428,nm3206514,nm6253132,nm6253131,nm6658162,nm0918709,nm6637579,nm6492192,nm0928444,nm0928603,nm6259216,nm0931117,nm0934574,nm6291869,nm0936252,nm0941552,nm0958424,nm0051304,nm0887428"
